# probe report -- machine-debian-trixie-16341
# taken     : 2026-09-03T23:46:30+02:00
# image     : /home/jean/.shared/DEVEL/repos/MARIONNET-dune-project/website-repo/download/marionnet-install.sh/1.0.x/machine-debian-trixie-16341
# sum       : 16341
# candidates: 2060 (BINARY_LIST of the .conf)
# probes    : help-timeout=5s x-timeout=6s x-only=0
# X server  : DISPLAY=:0 vendor string: The X.Org Foundation X.Org version: 21.1.11 
#
# name	verdict	rc	probe	first line of stderr
e2scrub_all	ERR	2	help	/usr/sbin/e2scrub_all: illegal option -- -
e2undo	OK	1	help	/usr/sbin/e2undo: invalid option -- '-'
e4crypt	OK	0	help	
e4defrag	OK	1	help	/usr/sbin/e4defrag: invalid option -- '-'
easside-ng	OK	0	help	/usr/sbin/easside-ng: invalid option -- '-'
ebrowse	OK	0	help	
ebrowse.emacs	OK	0	help	
ebtables	OK	0	help	
ebtables-nft	OK	0	help	
ebtables-nft-restore	OK	1	help	/usr/sbin/ebtables-nft-restore: unrecognized option '--help'
ebtables-nft-save	OK	1	help	/usr/sbin/ebtables-nft-save: unrecognized option '--help'
ebtables-restore	OK	1	help	/usr/sbin/ebtables-restore: unrecognized option '--help'
ebtables-save	OK	1	help	/usr/sbin/ebtables-save: unrecognized option '--help'
ebtables-translate	OK	0	help	/usr/sbin/ebtables-translate: Translate ebtables command to nft syntax
echo	OK	0	help	
ed	OK	0	help	
edit	X_DIED	0	x	
editcap	OK	0	help	
editor	OK	0	help	
editres	X_ALIVE	124	x	
egk-tool	OK	0	help	
egrep	OK	0	help	
eidenv	OK	0	help	eidenv - Belpic utility version 0.26.1
elfedit	OK	0	help	
emacs	OK	0	help	
emacsclient	OK	0	help	
emacsclient.emacs	OK	0	help	
emacs-nox	OK	0	help	
enc2xs	ERR	2	help	/usr/bin/enc2xs version 2.25 calling Getopt::Std::getopts (version 1.14 [paranoid]),
encguess	OK	0	version	
encode_keychange	OK	1	help	
env	OK	0	help	
envsubst	OK	0	help	
eqn	OK	0	help	
erb	OK	1	help	print this help
erb3.3	OK	1	help	print this help
etags	OK	0	help	
etags.emacs	OK	0	help	
ethtool	OK	0	help	
ettercap	OK	0	help	
etterfilter	OK	0	help	
etterlog	OK	0	help	
eventlogadm	OK	0	help	/usr/sbin/eventlogadm: invalid option -- '-'
ex	OK	0	help	
expand	OK	0	help	
expiry	OK	0	help	
exportfs	OK	1	help	/usr/sbin/exportfs: invalid option -- '-'
expr	OK	0	help	
f2py	OK	0	help	Unknown option '--help'
f2py3	OK	0	help	Unknown option '--help'
f2py3.13	OK	0	help	Unknown option '--help'
factor	OK	0	help	
faillock	OK	1	help	/usr/sbin/faillock: Unknown option: --help
faked-sysv	OK	1	help	faked, daemon for fake root environment
faked-tcp	OK	1	help	faked, daemon for fake root environment
fakeroot	OK	1	help	fakeroot, create a fake root environment.
fakeroot-sysv	OK	1	help	fakeroot, create a fake root environment.
fakeroot-tcp	OK	1	help	fakeroot, create a fake root environment.
fallocate	OK	0	help	
false	OK	1	help	
fatlabel	OK	0	help	
fcat	OK	1	help	/usr/bin/fcat: invalid option -- '-'
fc-cache	OK	0	help	
fc-cat	OK	0	help	
fc-conflist	OK	0	help	
fcgistarter	OK	1	help	usage: fcgistarter -c <command> -p <port> [-i <interface> -N <num>]
fc-list	OK	0	help	
fc-match	OK	0	help	
fc-pattern	OK	0	help	
fc-query	OK	0	help	
fc-scan	OK	0	help	
fc-validate	OK	0	help	
fdisk	OK	0	help	
fectest	OK	0	help	
ffind	OK	1	help	/usr/bin/ffind: invalid option -- '-'
fgconsole	OK	0	help	Usage: fgconsole [option...]
fgrep	OK	0	help	
filan	OK	1	help	2026/09/03 22:59:19 filan[66696] E unknown option --help
file	OK	0	help	
FileCheck-19	OK	0	help	
filefrag	OK	1	help	/usr/sbin/filefrag: invalid option -- '-'
find	OK	0	help	
find-all-symbols-19	OK	0	help	
findfs	OK	0	help	
